,nth_percentile,m_prop,f_prop,avg_motivation,avg_anxiety,avg_interest,avg_work_ethic,avg_parents,avg_behavior,avg_self,m_motivation,m_anxiety,m_interest,m_work_ethic,m_parents,m_behavior,m_self,f_motivation,f_anxiety,f_interest,f_work_ethic,f_parents,f_behavior,f_self
0,0.0,0.4952233825619477,0.5047766174380522,2.9888860995094246,2.495314304301955,2.445060508133538,2.8662646495522783,3.066485499107039,1.6774275345802183,2.48289029130339,3.038537767727178,2.4104709273119114,2.5117767570530054,2.831092458056122,3.097665499091051,1.7589557294087956,2.598975153429007,2.9407720741029935,2.5775099424269206,2.3804825600121258,2.900184657422665,3.0363024842208572,1.5990055130383676,1.5990055130383676
1,0.01,0.49503677426737547,0.5049632257326245,2.98821059483567,2.4924717868082635,2.443033933103772,2.8659570882319856,3.065976454761784,1.6741711910194874,2.483480046852216,3.038608357450598,2.4073560831455447,2.5099611544554064,2.8305727742222673,3.0974565595096735,1.754949452401011,2.5993401187785534,2.9393699038675085,2.574963553560276,2.3782374764547165,2.9000862104174585,3.035496243122684,1.5964545782031985,1.5964545782031985
2,0.02,0.4950724162499921,0.5049275837500079,2.987724966439899,2.489370669097661,2.441164338446288,2.8656583410647434,3.0655350757290907,1.6708865152126062,2.4845799880248336,3.038781949725391,2.4040743771719133,2.5081943588622315,2.830069896035403,3.0974569344494225,1.7511461014026057,2.6003842355927773,2.9381983620308767,2.5721084274635713,2.376207903945552,2.900015758185124,3.034597557190888,1.5935959192941482,1.5935959192941482
3,0.03,0.4951810273255604,0.5048189726744395,2.9868182384738513,2.485831720664763,2.439022644712943,2.8651282582091078,3.064947817918077,1.6676786380970159,2.485825810196888,3.038347562031352,2.400316393653429,2.505975216885669,2.8291466582099356,3.097179507751954,1.7470244767358918,2.6015476166297087,2.9368010936873814,2.5688805725167243,2.3740991224545347,2.899889346237865,3.033690794195244,1.5912357403250192,1.5912357403250192
4,0.04,0.4955317966575908,0.5044682033424092,2.986120307771767,2.48231553189206,2.43715727661327,2.86496195850398,3.0643122713615,1.6650266494048018,2.4873816811630505,3.038389726919822,2.3969831229383045,2.5042148938608495,2.828665998436409,3.09677520864474,1.7437624528418156,2.60289607711943,2.9353027790111526,2.565334624260741,2.3720292265186136,2.900092522610869,3.0327787602901304,1.5890369658162018,1.5890369658162018
5,0.05,0.4957367424940436,0.5042632575059565,2.985299721554614,2.4789441366747176,2.4353878989477638,2.864696927963483,3.0635449410603153,1.66229481910825,2.4890500579461956,3.0380875724404377,2.393528344422066,2.5023944600900645,2.828141544674857,3.096268924186227,1.7401190615957292,2.604313585108223,2.9339361323255906,2.5621964535730486,2.3702468654110675,2.9001087472343845,3.031728387711081,1.5871088537496665,1.5871088537496665
6,0.06,0.4959162211900797,0.5040837788099203,2.9848546737332478,2.475645252400819,2.433955188503552,2.864535068454966,3.063153448330392,1.6596725017984995,2.490593582245801,3.0380557855056205,2.3900884538600238,2.500988583236649,2.8277005408902975,3.0960264900671515,1.7367605152965602,2.6056865917248655,2.933034792054004,2.5591285114213735,2.368713376051529,2.9002642836795736,3.0311606460350635,1.5851052358455597,1.5851052358455597
7,0.07,0.4961485136673503,0.5038514863326498,2.9841083090354155,2.4720886977445944,2.432277413660993,2.8642412335179306,3.0624979317203698,1.657085776555446,2.4923478791071316,3.0380140085239242,2.3865957893266376,2.4992739257914036,2.827113403754396,3.095773612133399,1.733325714687577,2.6071210836491883,2.9315449328465775,2.555645944135455,2.366999398920759,2.9002955308921208,3.0300828777208966,1.583272622046708,1.583272622046708
8,0.08,0.49637361604204816,0.5036263839579519,2.9834886484996725,2.4683732037371193,2.4310383552176917,2.8642429193887207,3.061970356688481,1.6548202072140676,2.4944701008999433,3.0376313715644634,2.3828226922318625,2.497802751459001,2.8266715282608557,3.0952824571857915,1.730117749765778,2.6087965091196494,2.930631676413919,2.552077692435364,2.3659091839938835,2.9007692626399364,3.0294818195076765,1.5818481655225545,1.5818481655225545
9,0.09,0.49658593772985793,0.5034140622701421,2.9832451437721925,2.464791275764362,2.4299564639055404,2.8642100641925388,3.061667994611788,1.6527854224442704,2.4966788494031014,3.037925909228591,2.379129220089835,2.496756137895942,2.8262695822321082,3.0952724597085512,1.7275106588800115,2.6108314231238308,2.9298205768794006,2.54871282842616,2.3647390827359227,2.901119810929728,3.028869216144901,1.5802998602876268,1.5802998602876268
10,0.1,0.49694732650791545,0.5030526734920846,2.9826702896639055,2.461209581435892,2.4285212882288616,2.863969813153342,3.061085685225716,1.6506483590110943,2.4988621916204505,3.038015344795711,2.375582625213322,2.495264948850747,2.825730646994206,3.095021773343838,1.724677698081011,2.6126393194433835,2.928491379010309,2.5452284969961405,2.3632372027464554,2.901239010484602,3.0279009776061336,1.5786943657715526,1.5786943657715526
11,0.11,0.4970296571435184,0.5029703428564817,2.9821962518799263,2.4576096234536995,2.4275306898850846,2.8638059102598885,3.060686976573031,1.6485165630649774,2.5009694790945556,3.0379591778085913,2.3717742345920283,2.4940861455074885,2.825253234395692,3.09474010883617,1.7217178005959337,2.6148102280177103,2.9275648966721097,2.5418687640066326,2.3623760804374667,2.9014157412027233,3.02735787748735,1.5772969986783953,1.5772969986783953
12,0.12,0.4972440861951538,0.5027559138048462,2.981749155344691,2.4539814956361012,2.4264034818966604,2.8638084276631903,3.060215612602963,1.646548304088459,2.5030204206702424,3.0379047943913027,2.3679430124111107,2.492911648633299,2.8250984582328043,3.0945464444226203,1.7193524063066916,2.6166666666666005,2.926652377629349,2.5385261517147732,2.3612050936137106,2.9016273440621445,3.0265666130674114,1.5755990068057522,1.5755990068057522
13,0.13,0.4976479027626193,0.5023520972373807,2.981607451158564,2.450207859670963,2.425672991413118,2.863862441671452,3.059793089433628,1.6446795886075949,2.505381299844814,3.038249222919477,2.363913778780119,2.492123552123552,2.8248788306742565,3.0942104242325534,1.7168374566198483,2.618680363022749,2.925908504365002,2.5351250346712093,2.3603853407227033,2.9020340127438136,3.0259816690794983,1.574203350256761,1.574203350256761
14,0.14,0.4979656154282745,0.5020343845717256,2.9814810730943533,2.4466868242830317,2.4247365627660633,2.863913494472873,3.0592572358091044,1.6428540869131725,2.507401057080902,3.038629224637359,2.360357241865167,2.491073751179885,2.824713892510187,3.0939846452383257,1.7144284016011075,2.620529184749087,2.9252120854031265,2.5317751488031104,2.3594775901147913,2.9023529460062276,3.0250969020638636,1.5728498995503684,1.5728498995503684
15,0.15,0.4982577384039042,0.5017422615960958,2.9815110179164295,2.4430278734639828,2.4241671793151016,2.864059356082975,3.0589729706164355,1.6412955153357385,2.509964457075244,3.0389769144945227,2.356448596715823,2.49045851708827,2.8246122235166857,3.0937209990627412,1.712353931772738,2.62306694284472,2.9248416085775046,2.5284750397885682,2.3588615370951507,2.902794605239785,3.024739863254524,1.5716949272448357,1.5716949272448357
16,0.16,0.49847147280398324,0.5015285271960167,2.9813016552232408,2.439444759163915,2.423726065414288,2.8642524574945845,3.058527969138678,1.6396838137118033,2.5123454720058587,3.039118504220128,2.3528309248224506,2.4898003356851546,2.8245380419441033,3.0933313048336957,1.7100743000276608,2.625318357802673,2.92423472627969,2.525019651711372,2.3585721667627744,2.9032931463541707,3.0242070993496735,1.5706652352431536,1.5706652352431536
17,0.17,0.49878678714440955,0.5012132128555905,2.9812833512728156,2.4358270608735544,2.423072008848545,2.8643891420747214,3.0582418310127117,1.6380912357095598,2.5148565238008858,3.039583715877096,2.349106431681388,2.489301559765421,2.8245539896362883,3.093278484744412,1.7080360608648397,2.6277872937382654,2.9236501357616644,2.5216365945856354,2.3576648422457054,2.90361503198353,3.023639387335884,1.5693964728487122,1.5693964728487122
18,0.18,0.4993632461135406,0.5006367538864593,2.9810001000754416,2.4319504836797297,2.422490755822481,2.8644299797770345,3.057910827892649,1.6366647790517557,2.5177500292659936,3.039598410342055,2.3453986866792853,2.488829935772131,2.8245389762514765,3.093063736537741,1.7063897625752003,2.630277910538919,2.922910215531778,2.51780095374727,2.3567886391223514,2.9038228720428054,3.0230944867756486,1.5679912317972884,1.5679912317972884
19,0.19,0.4998359892897192,0.5001640107102808,2.9809237769129786,2.4281832720170784,2.4219437836655455,2.8644965998031524,3.0576388236630625,1.6351398312259549,2.520444270716084,3.0400199366717486,2.3416676543327988,2.4882864582516353,2.824463971694007,3.0929165291471477,1.7044462634975501,2.6328140962185125,2.9222391733047623,2.5141878676962706,2.356120972071995,2.904100664259351,3.022641636913324,1.5667449047451394,1.5667449047451394
20,0.2,0.5002239912669152,0.4997760087330848,2.9810724650253144,2.4243243674168227,2.4216525004941687,2.8647361925239214,3.057305447726369,1.6338543140310118,2.523340205856002,3.0406363427884577,2.337957690802755,2.4881292338933574,2.824503571358129,3.092834717641667,1.7026164421997756,2.6352621974644115,2.921835555031261,2.5103927420318652,2.3556043315154,2.9046043320733714,3.022009027860656,1.5658860749463142,1.5658860749463142
21,0.21,0.5006945584667069,0.4993054415332932,2.9810881945636165,2.4206574208875606,2.4214458053080348,2.8649340174361044,3.057094861421122,1.63251510178076,2.526125710959356,3.040969712476413,2.3345370019129326,2.4877904505241544,2.8244763890013846,3.092672367603912,1.700817961519135,2.6375872584467315,2.921414229141933,2.5066591440316945,2.3554025677466743,2.9051058461325097,3.0216821462957304,1.564876643284804,1.564876643284804
22,0.22,0.5011876233808734,0.49881237661912653,2.98096847711449,2.4165446744586667,2.4211431962826575,2.8650897349243416,3.0566052034013813,1.6312308395687654,2.5291388912758994,3.0409439714075477,2.3304105117115017,2.4871617565945296,2.8244785280548212,3.0924003609204838,1.6991035872896216,2.6403343748465904,2.921057414258251,2.502748486902916,2.355271570666645,2.9055147355961624,3.0208936502663835,1.563847830861717,1.563847830861717
23,0.23,0.5018040692527221,0.49819593074727786,2.98146195981463,2.4123745708734603,2.421243207525487,2.8655451415243327,3.0564711721298368,1.6300333870834367,2.532415297283571,3.041801682377586,2.3266076101943307,2.4874396710223916,2.824908664292288,3.0923848069061446,1.6977256714190982,2.6433096668486655,2.9210490742257904,2.498485614581943,2.3550402232802496,2.906089666547484,3.020557241924409,1.562664989275697,1.562664989275697
24,0.24,0.5021718689453903,0.4978281310546097,2.9817532322134963,2.4082110748970798,2.4212329194224926,2.8659074186117617,3.056242066698478,1.6290419487604622,2.5357642038772408,3.042235088504005,2.322544965456237,2.4873191867662574,2.8250610495474864,3.0923446304166182,1.6961875602902319,2.6464854183586652,2.921124737414582,2.494383986420118,2.355054828940362,2.9067167313471725,3.0200919409892073,1.5621259111883903,1.5621259111883903
25,0.25,0.5025289275260444,0.4974710724739556,2.9820870507586066,2.4041495501616446,2.4212983627819233,2.8662823883132096,3.056187742697083,1.628063117499894,2.5389483627203173,3.0427873168114288,2.318379598704685,2.4874128549923893,2.8252465091652414,3.092292260229447,1.6946948285081354,2.649552092073212,2.9211394706714255,2.490572789312747,2.3549909332433687,2.9073542617016908,3.019977004886843,1.5615398140851278,1.5615398140851278
26,0.26,0.5029008695652174,0.4970991304347826,2.9823743042908446,2.39970934982109,2.42136589340409,2.8665518944355104,3.0562304636546385,1.6270196011905018,2.5424328378796868,3.043442650778293,2.313996422366252,2.4874165645007493,2.8252082938563,3.0923971018702505,1.6931367158639885,2.652898333147418,2.9209766191654576,2.486230938701479,2.3550362510900977,2.9079836385516575,3.0199091532399707,1.5609246313583702,1.5609246313583702
27,0.27,0.5034827385887436,0.49651726141125646,2.9823913446570334,2.395725639193789,2.421300239063804,2.8668597396273108,3.0560767778487916,1.6260035551416836,2.545772826561721,3.0437899457081987,2.3096403600731725,2.4873465167377535,2.8252767293585,3.0923492877940073,1.6918558910206813,2.6563099714307774,2.9205073812719164,2.4828174989262832,2.354800718350916,2.908630992339028,3.0195604408348906,1.5600054889045716,1.5600054889045716
28,0.28,0.5037465608859043,0.49625343911409564,2.9827315575920808,2.3915538496198723,2.4212851757692646,2.867228569459605,3.0560620640054417,1.625099250985893,2.5492604074401055,3.044281598941698,2.3053837040937633,2.487210490017198,2.8254242958487032,3.092450628628498,1.690480593124824,2.659489696298023,2.9205920341619,2.478881932339675,2.354806194043647,2.909287604517657,3.0193694130937967,1.5594647750375674,1.5594647750375674
